"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 00:00","2019","01","01","00:00","","1.9","","1.1","","94","","","","12","","26","","8.1","","99.89","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 01:00","2019","01","01","01:00","","1.7","","0.6","","92","","","","14","","28","","4.8","","99.61","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 02:00","2019","01","01","02:00","","1.9","","1.0","","94","","","","12","","17","","4.8","","99.38","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 03:00","2019","01","01","03:00","","2.3","","1.4","","94","","","","10","","22","","9.7","","99.08","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 04:00","2019","01","01","04:00","","2.0","","1.3","","95","","","","2","","18","","8.1","","98.88","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 05:00","2019","01","01","05:00","","0.4","","-0.1","","96","","","","3","","23","","8.1","","98.72","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 06:00","2019","01","01","06:00","","0.5","","0.0","","96","","","","35","","17","","8.1","","98.83","","","","","","Rain,Fog"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 07:00","2019","01","01","07:00","","-0.1","","-1.0","","93","","","","32","","26","","8.1","","99.23","","","","-6","","Snow"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 08:00","2019","01","01","08:00","","0.1","","-1.0","","92","","","","28","","18","","24.1","","99.62","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 09:00","2019","01","01","09:00","","0.8","","-1.6","","84","","","","29","","23","","24.1","","99.98","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 10:00","2019","01","01","10:00","","0.9","","-2.5","","78","","","","29","","28","","24.1","","100.24","","","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 11:00","2019","01","01","11:00","","1.0","","-2.9","","76","","","","30","","24","","24.1","","100.45","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 12:00","2019","01","01","12:00","","0.6","","-4.1","","71","","","","29","","31","","24.1","","100.59","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 13:00","2019","01","01","13:00","","0.2","","-4.6","","70","","","","29","","32","","24.1","","100.75","","","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 14:00","2019","01","01","14:00","","-0.8","","-6.0","","68","","","","30","","23","","48.3","","100.85","","","","-7","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 15:00","2019","01","01","15:00","","-1.5","","-7.7","","63","","","","31","","23","","48.3","","101.08","","","","-8","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 16:00","2019","01","01","16:00","","-3.2","","-9.5","","62","","","","30","","21","","48.3","","101.30","","","","-9","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 17:00","2019","01","01","17:00","","-5.2","","-11.9","","59","","","","30","","32","","24.1","","101.55","","","","-13","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 18:00","2019","01","01","18:00","","-6.5","","-13.3","","58","","","","31","","20","","24.1","","101.70","","","","-13","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 19:00","2019","01","01","19:00","","-8.0","","-14.6","","59","","","","30","","19","","24.1","","101.81","","","","-15","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 20:00","2019","01","01","20:00","","-9.0","","-15.5","","59","","","","29","","14","","24.1","","101.92","","","","-15","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 21:00","2019","01","01","21:00","","-9.7","","-15.3","","64","","","","29","","13","","24.1","","101.97","","","","-16","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 22:00","2019","01","01","22:00","","-10.4","","-15.8","","65","","","","29","","9","","24.1","","102.01","","","","-15","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-01 23:00","2019","01","01","23:00","","-11.0","","-16.0","","67","","","","30","","13","","24.1","","102.01","","","","-17","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 00:00","2019","01","02","00:00","","-11.4","","-15.4","","72","","","","29","","15","","24.1","","102.08","","","","-18","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 01:00","2019","01","02","01:00","","-12.3","","-16.3","","72","","","","31","","12","","24.1","","102.13","","","","-19","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 02:00","2019","01","02","02:00","","-13.1","","-16.9","","73","","","","32","","8","","24.1","","102.20","","","","-18","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 03:00","2019","01","02","03:00","","-13.7","","-17.3","","75","","","","28","","8","","24.1","","102.26","","","","-19","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 04:00","2019","01","02","04:00","","-13.9","","-17.5","","74","","","","29","","7","","24.1","","102.30","","","","-19","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 05:00","2019","01","02","05:00","","-13.9","","-17.4","","75","","","","31","","9","","24.1","","102.39","","","","-20","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 06:00","2019","01","02","06:00","","-14.7","","-18.0","","76","","","","34","","8","","24.1","","102.49","","","","-20","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 07:00","2019","01","02","07:00","","-15.4","","-18.3","","79","","","","36","","8","","11.3","","102.54","","","","-21","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 08:00","2019","01","02","08:00","","-15.3","","-18.4","","78","","","","35","","5","","48.3","","102.63","","","","-19","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 09:00","2019","01","02","09:00","","-14.4","","-18.2","","73","","","","32","","4","","48.3","","102.62","","","","-17","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 10:00","2019","01","02","10:00","","-13.7","","-17.2","","75","","","","34","","7","","24.1","","102.60","","","","-18","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 11:00","2019","01","02","11:00","","-12.8","","-17.4","","69","","","","28","","3","","24.1","","102.57","","","","-15","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 12:00","2019","01","02","12:00","","-11.6","","-17.2","","64","","","","18","","5","","24.1","","102.47","","","","-15","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 13:00","2019","01","02","13:00","","-11.3","","-18.1","","58","","","","","","0","","24.1","","102.45","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 14:00","2019","01","02","14:00","","-10.4","","-17.7","","56","","","","","","0","","24.1","","102.34","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-01-02 15:00","2019","01","02","15:00","","-9.7","","-18.4","","50","","","","","","0","","24.1","","102.30","","","","","","NA"
